url,Playername link,Playername link_link,Updatestatus value,Mainposition image,Mainposition image_alt,Pt number 1,Overalldiff number,Playerbasedatainner link,Playerbasedatainner link_link,Playerbasedatainner image,Playerbasedatainner image_alt,Playerbasedatainner value,Image,Image_alt,Image_link,Pt number 2,Myclub link,Myclub link_link,Pt number 3,Ml link,Ml link_link,Pt number 4,Mainplaystyle value,Link,Link_link,,
http://we2016.kouryakuki.net/players/index/page:1,クリスティアーノ ロナウド,http://we2016.kouryakuki.net/players/detail/3/,【3.0変更】,http://we2016.kouryakuki.net/img/positions/show/1.png,LWG,92,,レアル マドリー,http://we2016.kouryakuki.net/teams/detail/97/,http://we2016.kouryakuki.net/img/countries/22.gif,国旗22,ポルトガル代表,http://we2016.kouryakuki.net/img/up_off.png,UP; http://we2016.kouryakuki.net/img/up_off.png,UP; http://we2016.kouryakuki.net/img/up_off.png,UP,http://we2016.kouryakuki.net/up/index/pl/3/point/?tmp=1477482393.6963&tmp=1477482395759; http://we2016.kouryakuki.net/ml/comment/3/0/?tmp=1477482395759; http://we2016.kouryakuki.net/ml/comment/3/1/?tmp=1477482395760,92; 77; 109; 101,myClub評価,http://we2016.kouryakuki.net/ml/player/3/0/,109,ML評価,http://we2016.kouryakuki.net/ml/player/3/1/,101,ウイングストライカー,詳細,http://we2016.kouryakuki.net/players/detail/3/?tmp=1477482395786
http://we2016.kouryakuki.net/players/index/page:1,メッシ,http://we2016.kouryakuki.net/players/detail/1/,【3.0変更】,http://we2016.kouryakuki.net/img/positions/show/2.png,ST,94,,バルセロナ,http://we2016.kouryakuki.net/teams/detail/88/,http://we2016.kouryakuki.net/img/countries/55.gif,国旗55,アルゼンチン代表,http://we2016.kouryakuki.net/img/up_off.png,UP; http://we2016.kouryakuki.net/img/up_off.png,UP; http://we2016.kouryakuki.net/img/up_off.png,UP,http://we2016.kouryakuki.net/up/index/pl/1/point/?tmp=1477482393.6996&tmp=1477482395760; http://we2016.kouryakuki.net/ml/comment/1/0/?tmp=1477482395761; http://we2016.kouryakuki.net/ml/comment/1/1/?tmp=1477482395762,94; 77; 109; 99,myClub評価,http://we2016.kouryakuki.net/ml/player/1/0/,109,ML評価,http://we2016.kouryakuki.net/ml/player/1/1/,99,2列目からの飛び出し,詳細,http://we2016.kouryakuki.net/players/detail/1/?tmp=1477482395786
http://we2016.kouryakuki.net/players/index/page:1,ルカク,http://we2016.kouryakuki.net/players/detail/7820/,【3.0変更】,http://we2016.kouryakuki.net/img/positions/show/3.png,CF,84,(+1),マージーサイド ブルー,http://we2016.kouryakuki.net/teams/detail/4/,http://we2016.kouryakuki.net/img/countries/2.gif,国旗2,ベルギー代表,http://we2016.kouryakuki.net/img/up_off.png,UP; http://we2016.kouryakuki.net/img/up_off.png,UP; http://we2016.kouryakuki.net/img/up_off.png,UP,http://we2016.kouryakuki.net/up/index/pl/7820/point/?tmp=1477482393.7014&tmp=1477482395762; http://we2016.kouryakuki.net/ml/comment/7820/0/?tmp=1477482395763; http://we2016.kouryakuki.net/ml/comment/7820/1/?tmp=1477482395763,84; 70; 101; 95,myClub評価,http://we2016.kouryakuki.net/ml/player/7820/0/,101,ML評価,http://we2016.kouryakuki.net/ml/player/7820/1/,95,ポストプレーヤー,詳細,http://we2016.kouryakuki.net/players/detail/7820/?tmp=1477482395786
http://we2016.kouryakuki.net/players/index/page:1,フェルナンド トーレス,http://we2016.kouryakuki.net/players/detail/1003/,【3.0変更】,http://we2016.kouryakuki.net/img/positions/show/3.png,CF,81,(+1),アトレティコ マドリー,http://we2016.kouryakuki.net/teams/detail/80/,http://we2016.kouryakuki.net/img/countries/29.gif,国旗29,スペイン,http://we2016.kouryakuki.net/img/up_off.png,UP; http://we2016.kouryakuki.net/img/up_off.png,UP; http://we2016.kouryakuki.net/img/up_off.png,UP,http://we2016.kouryakuki.net/up/index/pl/1003/point/?tmp=1477482393.7031&tmp=1477482395764; http://we2016.kouryakuki.net/ml/comment/1003/0/?tmp=1477482395764; http://we2016.kouryakuki.net/ml/comment/1003/1/?tmp=1477482395765,81; 67; 99; 87,myClub評価,http://we2016.kouryakuki.net/ml/player/1003/0/,99,ML評価,http://we2016.kouryakuki.net/ml/player/1003/1/,87,ラインブレーカー,詳細,http://we2016.kouryakuki.net/players/detail/1003/?tmp=1477482395786
http://we2016.kouryakuki.net/players/index/page:1,ネイマール,http://we2016.kouryakuki.net/players/detail/1883/,【3.0変更】,http://we2016.kouryakuki.net/img/positions/show/2.png,ST,91,(+1),バルセロナ,http://we2016.kouryakuki.net/teams/detail/88/,http://we2016.kouryakuki.net/img/countries/57.gif,国旗57,ブラジル代表,http://we2016.kouryakuki.net/img/up_off.png,UP; http://we2016.kouryakuki.net/img/up_off.png,UP; http://we2016.kouryakuki.net/img/up_off.png,UP,http://we2016.kouryakuki.net/up/index/pl/1883/point/?tmp=1477482393.7049&tmp=1477482395765; http://we2016.kouryakuki.net/ml/comment/1883/0/?tmp=1477482395766; http://we2016.kouryakuki.net/ml/comment/1883/1/?tmp=1477482395766,91; 66; 102; 95,myClub評価,http://we2016.kouryakuki.net/ml/player/1883/0/,102,ML評価,http://we2016.kouryakuki.net/ml/player/1883/1/,95,ウイングストライカー,詳細,http://we2016.kouryakuki.net/players/detail/1883/?tmp=1477482395786
http://we2016.kouryakuki.net/players/index/page:1,アグエロ,http://we2016.kouryakuki.net/players/detail/9/,【3.0変更】,http://we2016.kouryakuki.net/img/positions/show/3.png,CF,90,,マン ブルー,http://we2016.kouryakuki.net/teams/detail/3/,http://we2016.kouryakuki.net/img/countries/55.gif,国旗55,アルゼンチン代表,http://we2016.kouryakuki.net/img/up_off.png,UP; http://we2016.kouryakuki.net/img/up_off.png,UP; http://we2016.kouryakuki.net/img/up_off.png,UP,http://we2016.kouryakuki.net/up/index/pl/9/point/?tmp=1477482393.7066&tmp=1477482395766; http://we2016.kouryakuki.net/ml/comment/9/0/?tmp=1477482395767; http://we2016.kouryakuki.net/ml/comment/9/1/?tmp=1477482395767,90; 64; 100; 95,myClub評価,http://we2016.kouryakuki.net/ml/player/9/0/,100,ML評価,http://we2016.kouryakuki.net/ml/player/9/1/,95,ラインブレーカー,詳細,http://we2016.kouryakuki.net/players/detail/9/?tmp=1477482395786
http://we2016.kouryakuki.net/players/index/page:1,イブラヒモヴィッチ,http://we2016.kouryakuki.net/players/detail/4/,【3.0変更】,http://we2016.kouryakuki.net/img/positions/show/3.png,CF,92,(+1),パリ サンジェルマン,http://we2016.kouryakuki.net/teams/detail/35/,http://we2016.kouryakuki.net/img/countries/30.gif,国旗30,スウェーデン代表,http://we2016.kouryakuki.net/img/up_off.png,UP; http://we2016.kouryakuki.net/img/up_off.png,UP; http://we2016.kouryakuki.net/img/up_off.png,UP,http://we2016.kouryakuki.net/up/index/pl/4/point/?tmp=1477482393.7083&tmp=1477482395768; http://we2016.kouryakuki.net/ml/comment/4/0/?tmp=1477482395768; http://we2016.kouryakuki.net/ml/comment/4/1/?tmp=1477482395768,92; 64; 105; 95,myClub評価,http://we2016.kouryakuki.net/ml/player/4/0/,105,ML評価,http://we2016.kouryakuki.net/ml/player/4/1/,95,ボックスストライカー,詳細,http://we2016.kouryakuki.net/players/detail/4/?tmp=1477482395786
http://we2016.kouryakuki.net/players/index/page:1,ポグバ,http://we2016.kouryakuki.net/players/detail/3895/,,http://we2016.kouryakuki.net/img/positions/show/7.png,CMF,88,,ユベントス,http://we2016.kouryakuki.net/teams/detail/58/,http://we2016.kouryakuki.net/img/countries/10.gif,国旗10,フランス代表,http://we2016.kouryakuki.net/img/up_off.png,UP; http://we2016.kouryakuki.net/img/up_off.png,UP; http://we2016.kouryakuki.net/img/up_off.png,UP,http://we2016.kouryakuki.net/up/index/pl/3895/point/?tmp=1477482393.7101&tmp=1477482395769; http://we2016.kouryakuki.net/ml/comment/3895/0/?tmp=1477482395769; http://we2016.kouryakuki.net/ml/comment/3895/1/?tmp=1477482395770,88; 64; 96; 93,myClub評価,http://we2016.kouryakuki.net/ml/player/3895/0/,96,ML評価,http://we2016.kouryakuki.net/ml/player/3895/1/,93,-,詳細,http://we2016.kouryakuki.net/players/detail/3895/?tmp=1477482395786
http://we2016.kouryakuki.net/players/index/page:1,ロッベン,http://we2016.kouryakuki.net/players/detail/2/,【1.0変更】,http://we2016.kouryakuki.net/img/positions/show/4.png,RWG,92,,バイエルン ミュンヘン,http://we2016.kouryakuki.net/teams/detail/189/,http://we2016.kouryakuki.net/img/countries/18.gif,国旗18,オランダ代表,http://we2016.kouryakuki.net/img/up_off.png,UP; http://we2016.kouryakuki.net/img/up_off.png,UP; http://we2016.kouryakuki.net/img/up_off.png,UP,http://we2016.kouryakuki.net/up/index/pl/2/point/?tmp=1477482393.7119&tmp=1477482395770; http://we2016.kouryakuki.net/ml/comment/2/0/?tmp=1477482395770; http://we2016.kouryakuki.net/ml/comment/2/1/?tmp=1477482395771,92; 64; 104; 97,myClub評価,http://we2016.kouryakuki.net/ml/player/2/0/,104,ML評価,http://we2016.kouryakuki.net/ml/player/2/1/,97,ウイングストライカー,詳細,http://we2016.kouryakuki.net/players/detail/2/?tmp=1477482395786
http://we2016.kouryakuki.net/players/index/page:1,カバーニ,http://we2016.kouryakuki.net/players/detail/1887/,,http://we2016.kouryakuki.net/img/positions/show/3.png,CF,89,,パリ サンジェルマン,http://we2016.kouryakuki.net/teams/detail/35/,http://we2016.kouryakuki.net/img/countries/63.gif,国旗63,ウルグアイ代表,http://we2016.kouryakuki.net/img/up_off.png,UP; http://we2016.kouryakuki.net/img/up_off.png,UP; http://we2016.kouryakuki.net/img/up_off.png,UP,http://we2016.kouryakuki.net/up/index/pl/1887/point/?tmp=1477482393.7141&tmp=1477482395771; http://we2016.kouryakuki.net/ml/comment/1887/0/?tmp=1477482395772; http://we2016.kouryakuki.net/ml/comment/1887/1/?tmp=1477482395772,89; 63; 109; 93,myClub評価,http://we2016.kouryakuki.net/ml/player/1887/0/,109,ML評価,http://we2016.kouryakuki.net/ml/player/1887/1/,93,ラインブレーカー,詳細,http://we2016.kouryakuki.net/players/detail/1887/?tmp=1477482395786
